signal_id,trade_id,side,entry_id,signal_time,entry_time,exit_time,expiry_time,option_type,strike,quote_time,spot,tte_hours,rv_base,iv_used,theoretical_mid,intrinsic,spread_rate,bid,ask,worst_executable_price,quote_phase
509,509,short,Short1,2025-07-11 00:15:00,2025-07-11 00:30:00,2025-07-11 06:30:00,2025-07-11 08:00:00,put,115500.0,2025-07-11 00:30:00,115444.84,7.5,0.5602984051818498,1.0624326875136823,1459.7748679256765,55.16000000000349,0.28,1255.406386416082,1664.1433494352714,1763.9919504013878,entry
509,509,short,Short1,2025-07-11 00:15:00,2025-07-11 00:30:00,2025-07-11 06:30:00,2025-07-11 08:00:00,put,115500.0,2025-07-11 06:30:00,117969.0,1.5,0.48916732831634535,0.25,2.857035275027897e-09,0.0,0.4,0.8,1.2,0.7360000000000001,exit
510,510,short,Short1,2025-07-11 08:45:00,2025-07-11 09:00:00,2025-07-11 15:00:00,2025-07-12 08:00:00,put,118000.0,2025-07-11 09:00:00,118033.16,23.0,0.5014506017712663,0.9771033725683361,2340.4599688382878,0.0,0.1,2223.4369703963735,2457.482967280202,2604.931945317014,entry
510,510,short,Short1,2025-07-11 08:45:00,2025-07-11 09:00:00,2025-07-11 15:00:00,2025-07-12 08:00:00,put,118000.0,2025-07-11 15:00:00,117644.22,17.0,0.5225227333609567,0.25,714.88993366879,355.77999999999884,0.1,679.1454369853506,750.6344303522295,624.8138020265226,exit
513,513,short,Short2,2025-07-14 07:45:00,2025-07-14 08:00:00,2025-07-14 14:00:00,2025-07-15 08:00:00,put,122500.0,2025-07-14 08:00:00,122400.0,24.0,0.4208733113661608,0.9,2351.3889188298563,100.0,0.1,2233.819472888363,2468.9583647713494,2617.0958666576303,entry
513,513,short,Short2,2025-07-14 07:45:00,2025-07-14 08:00:00,2025-07-14 14:00:00,2025-07-15 08:00:00,put,122500.0,2025-07-14 14:00:00,121787.73,18.0,0.3936397599777781,0.25,979.8811270058068,712.2700000000041,0.1,930.8870706555164,1028.875183356097,856.4161050030751,exit
514,514,short,Short1,2025-07-17 21:30:00,2025-07-17 21:45:00,2025-07-18 03:45:00,2025-07-18 08:00:00,put,120500.0,2025-07-17 21:45:00,120272.19,10.25,0.46434799023106066,0.9233045858350379,1633.4086856314243,227.80999999999767,0.1,1551.738251349853,1715.0791199129956,1817.9838671077755,entry
514,514,short,Short1,2025-07-17 21:30:00,2025-07-17 21:45:00,2025-07-18 03:45:00,2025-07-18 08:00:00,put,120500.0,2025-07-18 03:45:00,120223.09,4.25,0.4233934615590829,0.25,425.61351832356013,276.9100000000035,0.28,366.0276257582617,485.1994108888586,336.7454156976008,exit
516,516,short,Short1,2025-07-22 23:15:00,2025-07-22 23:30:00,2025-07-23 05:30:00,2025-07-23 08:00:00,put,120000.0,2025-07-22 23:30:00,119994.0,8.5,0.41285401681445183,0.9,1345.044269779879,6.0,0.1,1277.792056290885,1412.2964832688729,1497.0342722650053,entry
516,516,short,Short1,2025-07-22 23:15:00,2025-07-22 23:30:00,2025-07-23 05:30:00,2025-07-23 08:00:00,put,120000.0,2025-07-23 05:30:00,118665.72,2.5,0.38318194614173756,0.25,1334.9136215929902,1334.2799999999988,0.28,1314.2657999999988,1521.8015286160091,1314.2657999999988,exit
518,518,short,Short1,2025-07-27 22:15:00,2025-07-27 22:30:00,2025-07-28 04:30:00,2025-07-28 08:00:00,put,120000.0,2025-07-27 22:30:00,119766.64,9.5,0.3184443836487647,0.9,1537.1774066207,233.36000000000058,0.1,1460.3185362896647,1614.036276951735,1710.8784535688392,entry
518,518,short,Short1,2025-07-27 22:15:00,2025-07-27 22:30:00,2025-07-28 04:30:00,2025-07-28 08:00:00,put,120000.0,2025-07-28 04:30:00,119280.0,3.5,0.31572717743148077,0.25,753.2462159495335,720.0,0.28,709.2,858.7006861824683,709.2,exit
520,520,long,Long1,2025-08-02 13:30:00,2025-08-02 13:45:00,2025-08-02 19:45:00,2025-08-03 08:00:00,call,113500.0,2025-08-02 13:45:00,113457.85,18.25,0.33352882189453903,0.9,1838.588573284731,0.0,0.1,1746.6591446204943,1930.5180019489676,2046.3490820659058,entry
520,520,long,Long1,2025-08-02 13:30:00,2025-08-02 13:45:00,2025-08-02 19:45:00,2025-08-03 08:00:00,call,113500.0,2025-08-02 19:45:00,112229.42,12.25,0.3487997447712544,0.25,58.689061692541145,0.0,0.1,55.754608607914086,61.623514777168204,51.29423991928096,exit
521,521,short,Short1,2025-08-07 10:45:00,2025-08-07 11:00:00,2025-08-07 17:00:00,2025-08-08 08:00:00,put,116500.0,2025-08-07 11:00:00,116482.42,21.0,0.3014189445138477,0.9,2056.5107718871805,17.580000000001746,0.1,1953.6852332928213,2159.3363104815394,2288.896489110432,entry
521,521,short,Short1,2025-08-07 10:45:00,2025-08-07 11:00:00,2025-08-07 17:00:00,2025-08-08 08:00:00,put,116500.0,2025-08-07 17:00:00,116393.12,15.0,0.30322076919159957,0.25,535.9132334687165,106.88000000000466,0.1,509.11757179528064,562.7088951421523,468.38816605165823,exit
525,525,short,Short1,2025-08-13 14:15:00,2025-08-13 14:30:00,2025-08-13 20:30:00,2025-08-14 08:00:00,put,121500.0,2025-08-13 14:30:00,121649.7,17.5,0.41236736287513726,0.9,1876.9593008859738,0.0,0.1,1783.111335841675,1970.8072659302725,2089.055701886089,entry
525,525,short,Short1,2025-08-13 14:15:00,2025-08-13 14:30:00,2025-08-13 20:30:00,2025-08-14 08:00:00,put,121500.0,2025-08-13 20:30:00,122807.27,11.5,0.43925564874837664,0.25,64.47003279742603,0.0,0.1,61.24653115755473,67.69353443729733,56.34680866495035,exit
526,526,short,Short1,2025-08-13 20:15:00,2025-08-13 20:30:00,2025-08-14 02:30:00,2025-08-14 08:00:00,put,123000.0,2025-08-13 20:30:00,122807.27,11.5,0.43925564874837664,0.9,1697.0160371042875,192.72999999999593,0.1,1612.165235249073,1781.866838959502,1888.7788492970722,entry
526,526,short,Short1,2025-08-13 20:15:00,2025-08-13 20:30:00,2025-08-14 02:30:00,2025-08-14 08:00:00,put,123000.0,2025-08-14 02:30:00,123579.26,5.5,0.4418292810810429,0.25,101.296726663757,0.0,0.28,87.11518493083102,115.47826839668299,80.14597013636454,exit
527,527,long,Long1,2025-08-15 14:00:00,2025-08-15 14:15:00,2025-08-15 20:15:00,2025-08-16 08:00:00,call,118000.0,2025-08-15 14:15:00,117892.0,17.75,0.3433403248087662,0.9,1852.6198782168503,0.0,0.1,1759.9888843060078,1945.250872127693,2061.9659244553545,entry
527,527,long,Long1,2025-08-15 14:00:00,2025-08-15 14:15:00,2025-08-15 20:15:00,2025-08-16 08:00:00,call,118000.0,2025-08-15 20:15:00,117193.56,11.75,0.3456838625831188,0.25,141.47675357245316,0.0,0.1,134.4029158938305,148.55059125107582,123.65068262232407,exit
530,530,long,Long1,2025-08-19 17:15:00,2025-08-19 17:30:00,2025-08-19 23:30:00,2025-08-20 08:00:00,call,113500.0,2025-08-19 17:30:00,113473.97,14.5,0.3307061521811512,0.9,1644.718980336409,0.0,0.1,1562.4830313195885,1726.9549293532295,1830.5722251144234,entry
530,530,long,Long1,2025-08-19 17:15:00,2025-08-19 17:30:00,2025-08-19 23:30:00,2025-08-20 08:00:00,call,113500.0,2025-08-19 23:30:00,112964.0,8.5,0.33096972324604146,0.25,146.8431770201969,0.0,0.1,139.50101816918703,154.18533587120675,128.34093671565208,exit
531,531,long,Long1,2025-08-21 17:15:00,2025-08-21 17:30:00,2025-08-21 23:30:00,2025-08-22 08:00:00,call,112500.0,2025-08-21 17:30:00,112441.83,14.5,0.337498170643082,0.9,1613.9386173111707,0.0,0.1,1533.241686445612,1694.6355481767293,1796.3136810673332,entry
531,531,long,Long1,2025-08-21 17:15:00,2025-08-21 17:30:00,2025-08-21 23:30:00,2025-08-22 08:00:00,call,112500.0,2025-08-21 23:30:00,112280.01,8.5,0.2984457937188024,0.25,250.14455603979877,0.0,0.1,237.63732823780882,262.6517838417887,218.62634197878413,exit
532,532,short,Short1,2025-08-22 15:45:00,2025-08-22 16:00:00,2025-08-22 22:00:00,2025-08-23 08:00:00,put,116500.0,2025-08-22 16:00:00,116593.48,16.0,0.6889741845562468,1.2490125676065578,2435.1492398636547,0.0,0.1,2313.3917778704717,2556.9067018568376,2710.321103968248,entry
532,532,short,Short1,2025-08-22 15:45:00,2025-08-22 16:00:00,2025-08-22 22:00:00,2025-08-23 08:00:00,put,116500.0,2025-08-22 22:00:00,116784.12,10.0,0.584201523009972,0.25,267.22458631376503,0.0,0.1,253.86335699807677,280.5858156294533,233.55428843823063,exit
533,533,long,Long1,2025-08-25 00:45:00,2025-08-25 01:00:00,2025-08-25 07:00:00,2025-08-25 08:00:00,call,113000.0,2025-08-25 01:00:00,112807.33,7.0,0.4949829625647308,0.9677252957188596,1138.1832095347418,0.0,0.28,978.8375601998779,1297.5288588696058,1375.3805904017822,entry
